"","Z_SCORE"
"1",-1.46779232802464
"2",0.532693128833192
"3",-1.6737824994439
"4",-0.763416826861063
"5",-1.05817983670101
"6",0.399898199991757
"7",0.873371629913926
"8",-0.494774940516506
"9",-1.10405434207118
"10",-0.222692044195891
"11",-1.39900850854701
"12",-0.56205714150542
"13",-0.343255368957905
"14",-0.613768744359183
"15",-1.20415966492816
"16",-1.73442256187538
"17",0.523953218297252
"18",-0.923129798754019
"19",-0.458264096854773
"20",-1.29355055065986
"21",-0.6098848353911
"22",-0.520126823979896
"23",-0.302762815062544
"24",-0.457530194543375
"25",0.109654923663773
"26",-1.99700704196857
"27",-1.37972364496249
"28",-1.38890492488358
"29",0.0644247989288467
"30",-0.613413422846077
"31",-1.2621216303488
"32",-0.592101898308732
"33",0.0131508046594225
"34",-0.487562970549328
"35",0.282652378464785
"36",0.54932932055696
"37",-0.786107328110613
"38",-0.707041475427889
"39",-0.598633243852917
"40",0.628724827930472
"41",-0.708717970388369
"42",-0.826925156505269
"43",-0.100012526392394
"44",0.019480984472226
"45",-0.332405427876501
"46",-0.874230323295651
"47",0.286726879997497
"48",-0.0474113249538749
"49",0.25483553843368
"50",-0.755077022179734
"51",0.439869340233587
"52",0.161951476433259
"53",-0.535192471227897
"54",-0.630973671514426
"55",0.22569900691179
"56",-0.0502245491273856
"57",-0.451399534929641
"58",-1.03261310492635
"59",-0.261104029707186
"60",-1.13388913154145
"61",-0.86464020080968
"62",0.163058690892888
"63",-0.435248769197744
"64",-0.169710501344131
"65",-0.942299739520471
"66",0.27431664109687
"67",-0.716903221205824
"68",0.509002246690139
"69",-1.15313198090306
"70",-0.413525802060025
"71",0.34137263047778
"72",-0.215935021705358
"73",0.550298830095858
"74",-0.238355123855793
"75",0.0728680561949886
"76",-0.0930392017348583
"77",-0.15328465240638
"78",0.0429056852030204
"79",0.338528113697271
"80",-0.151916342428592
"81",0.403352175760433
"82",-0.0264536130884023
"83",-1.36408257637278
"84",-0.19938218558017
"85",-0.637693166371641
"86",-1.73607218097718
"87",-0.912382347750996
"88",-0.513730941367893
"89",0.345960844682503
"90",-0.645934594408769
"91",0.0438274460988786
"92",0.196633657134367
"93",-0.231390767257476
"94",-1.28193618283652
"95",-0.383357659499561
"96",-0.758534916623124
"97",0.313116904245089
"98",0.564142060921159
"99",0.324519791220434
"100",-0.0101544646953779
"101",-0.11744889580203
"102",0.05859740544479
"103",0.341808393088806
"104",-0.576108459145532
"105",-0.286004407290727
"106",0.200354526703718
"107",-0.15966240883245
"108",-1.15303087435531
"109",0.0718161955097942
"110",0.292511609566977
"111",-1.87714050785366
"112",0.101866757079155
"113",-0.595149038659803
"114",0.0804859068734672
"115",-0.117351342766837
"116",-0.666693075719623
"117",-0.916533400840162
"118",0.576947455244025
"119",-0.409055835146902
"120",-0.282303488890792
"121",-0.628568200038514
"122",0.461180246292418
"123",-0.471554426920402
"124",-0.363088377139606
"125",0.788179253392167
"126",0.83502958826873
"127",-0.135308431673785
"128",-0.827990069253855
"129",-0.309830227152427
"130",-0.580613535420669
"131",-1.36035440654827
"132",-0.0296986096431191
"133",-0.727530757137996
"134",-0.647348832836373
"135",-0.226669761152388
"136",-0.547165355164061
"137",0.0335733841340008
"138",1.65561634748163
"139",-1.57248177959323
"140",0.453344253867109
"141",-1.08305254927849
"142",0.118386314170576
"143",-0.650175693556547
"144",-0.680952037732986
"145",-1.13289070745932
"146",-0.675088073718441
"147",-0.711205596219159
"148",-0.296896910099216
"149",0.383234036158129
"150",0.0839404257782
"151",0.891477007236861
"152",-0.307678544397644
"153",-0.287694914856895
"154",-0.351261665914264
"155",-0.239840043930781
"156",-0.800118369748372
"157",0.518507925667399
"158",0.486862755628402
"159",-0.0455088610847194
"160",-1.2572467344994
"161",-0.0441370031146369
"162",0.536612865059218
"163",-0.164670131412656
"164",-0.441608523957442
"165",0.316023827797691
"166",-0.443222220284552
"167",-0.164931193282954
"168",-0.608043107898476
"169",-0.144663896429989
"170",-1.15621148533839
"171",-1.06052409658453
"172",0.266988961845504
"173",-1.18453431141028
"174",-0.367206110728158
"175",-1.03890312652352
